Date,Aruba,Afghanistan,Angola,Albania,Andorra,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,The Bahamas,Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,Congo Dem. Rep.,Congo Rep.,Colombia,Comoros,Cabo Verde,Costa Rica,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific,Ecuador,Egypt Arab Rep.,Eritrea,Spain,Estonia,Ethiopia,European Union,Finland,Fiji,France,Faroe Islands,Micronesia Fed. Sts.,Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,The Gambia,Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,Hong Kong SAR China,Honduras,Croatia,Haiti,Hungary,Indonesia,Isle of Man,India,Ireland,Iran Islamic Rep.,Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,Korea Rep.,Kuwait,Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Liechtenstein,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,Macao SAR China,St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Mexico,Marshall Islands,North Macedonia,Mali,Malta,Myanmar,Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Puerto Rico,Korea Dem. People’s Rep.,Portugal,Paraguay,West Bank and Gaza,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,South Sudan,Sub-Saharan Africa,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Timor-Leste,Tonga,Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,Venezuela RB,British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,Samoa,Kosovo,Yemen Rep.,South Africa,Zambia,Zimbabwe
1960,65.662,32.446,37.524,62.283,,51.537,65.055,65.972,,61.968,70.8170731707317,68.5856097560976,61.034,41.281,69.7019512195122,37.271,34.432,45.379,69.2475609756098,51.869,64.74,60.353,67.7080975609756,59.981,,41.82,54.143,64.472,54.81,34.526,49.179,36.249,71.1331707317073,71.3134146341463,70.739,57.219,43.725,36.095,41.785,41.098,45.721,57.269,41.447,48.461,60.381,63.834,,,69.618,70.3487804878049,69.3100243902439,44.038,,72.1765853658536,51.602,46.141,48.4158990605597,52.982,48.042,38.419,69.1092682926829,67.9029024390244,38.419,69.0208666209947,68.819756097561,60.811,69.8682926829268,,54.513,39.694,71.1268292682927,63.651,45.843,,34.89,32.054,37.478,36.535,68.1639024390244,62.231,,46.702,60.97,60.26,66.9616829268293,46.274,64.6086585365854,41.762,68.0031707317073,46.664,,41.422,69.796512195122,44.947,48.022,73.4231707317073,,69.1239024390244,64.77,52.651,67.6660975609756,58.3675853658537,46.76,56.1280731707317,41.242,47.061,,55.4155365853659,59.343,43.204,63.267,34.264,42.609,56.739,56.077666782735,,59.369,47.919,69.8473170731707,68.4463902439024,69.7868292682927,64.828,,48.458,,61.995,39.962,37.343,57.077,,60.633,28.199,69.433243902439,42.381,63.82,48.392,,39.439,44.432,58.7452195121951,36.672,59.991,69.89360375709,46.483,58.6390243902439,35.053,36.976,46.998,73.3926829268293,73.549756097561,35.583,,71.2365853658537,42.672,45.299,60.864,48.012,61.105,,38.935,67.6804878048781,68.7196097560976,51.297,63.2729024390244,63.881,,56.282,61.094,65.6424390243903,66.0552926829268,42.616,42.120208188067,45.638,48.194,38.223,65.6598292682927,48.123,31.566,49.95,,36.976,,31.697,40.3778979179808,50.378,59.682,69.9236585365854,68.9780487804878,73.0056097560976,43.572,,,51.971,,38.02,40.297,54.701,50.613,54.471,33.729,59.885,62.222,42.021,45.369,,43.6,44.359,68.2995365853659,67.783,69.7707317073171,58.835,59.26,59.831,,66.2248536585366,59.039,48.975,56.902,,29.919,48.406,46.687,53.019
1961,66.074,32.962,37.811,63.301,,52.56,65.176,66.403,,62.523,70.9731707317073,69.5773170731708,61.256,41.592,70.5209756097561,37.727,34.897,45.97,70.1956097560976,53.235,64.885,61.019,68.2126585365854,60.531,,42.15,54.634,65.198,55.81,34.889,49.684,36.715,71.3460975609756,71.6448780487805,70.833,57.616,44.051,36.948,42.255,41.312,46.338,57.813,41.846,48.66,61.018,64.446,,,69.949,70.5126829268293,69.508,44.469,,72.4382926829268,52.306,46.599,48.9441675025035,53.547,48.609,39.075,69.480487804878,68.3608048780488,39.082,69.4122119526282,68.8441463414634,61.172,70.1170731707317,,54.954,40.082,70.8780487804878,64.058,46.279,,35.086,32.336,37.752,36.872,68.5486341463415,62.657,,47.219,61.481,60.441,67.548756097561,46.953,65.015512195122,42.182,68.9360975609756,47.276,,42.027,69.9782682926829,45.512,49.222,73.5034146341464,72.0065853658536,69.760243902439,65.133,53.438,68.31,58.7815853658537,47.417,56.5641219512195,41.366,47.557,,56.0149756097561,60.099,43.511,63.575,34.56,44.211,57.589,56.5493231745008,,59.769,48.162,70.1026829268293,68.7377317073171,70.0324390243903,65.301,,48.88,,62.367,40.444,37.936,57.668,,61.259,28.345,69.6143902439024,42.961,64.508,49.304,,39.879,45.132,59.7483658536585,36.934,60.515,70.3680173824054,47.231,59.0390243902439,35.141,37.431,47.636,73.6526829268293,73.5504878048781,35.941,,70.9853658536586,43.499,46.197,61.38,48.628,61.509,,39.542,67.7780487804878,68.9431707317073,51.674,63.6863658536585,64.105,,56.708,61.851,66.4158780487805,66.5970243902439,42.941,42.7424786004499,46.145,48.618,38.38,66.0871951219512,48.939,31.925,50.621,,37.374,,32.125,40.8247097390708,50.909,60.038,70.2508536585366,68.9780487804878,73.4743902439024,43.951,,,52.568,,38.279,40.941,55.233,50.927,54.897,34.229,60.281,62.652,42.656,46.093,,43.859,44.955,68.7638536585366,68.007,70.2707317073171,59.21,59.891,60.377,,66.4879756097561,59.72,49.498,57.188,,30.163,48.777,47.084,53.483
1962,66.444,33.471,38.113,64.19,,53.573,65.269,66.838,,63.049,70.9424390243902,69.309512195122,61.469,41.907,70.219512195122,38.188,35.369,46.557,69.4919512195122,54.59,65.011,61.646,68.6358292682927,61.092,,42.49,55.13,65.831,56.805,35.29,50.171,37.19,71.3670731707317,71.1960975609756,70.928,58.031,44.783,37.78,42.721,41.529,46.928,58.329,42.245,48.944,61.638,65.066,,,70.272,69.7868292682927,69.6915365853658,44.892,,72.319756097561,52.997,47.056,49.6078940879116,54.098,49.134,39.693,69.5190243902439,68.7410243902439,39.711,69.3183616863469,68.5778048780488,61.478,70.3146341463415,,55.396,40.56,70.9268292682927,64.469,46.696,,35.266,32.67,38.042,37.208,68.8922682926829,63.064,,47.75,61.986,60.623,68.1059756097561,47.625,65.408243902439,42.591,67.8658536585366,47.877,,42.637,70.1340731707317,46.069,50.409,73.7219512195122,72.1121951219512,69.149756097561,65.465,54.22,68.5948780487805,59.1995609756098,48.058,57.0026585365854,41.526,48.071,,56.5123170731707,60.841,43.817,63.871,34.911,45.833,58.428,57.0052752427026,,60.177,48.383,69.0953658536585,68.9981219512195,69.430487804878,65.757,,49.307,,62.743,40.924,38.56,58.193,,61.87,28.535,69.7706585365854,43.567,65.181,50.185,,40.238,45.834,60.6269024390244,37.183,61.012,70.2327068020476,47.957,59.4390243902439,35.223,37.871,48.277,73.3239024390244,73.4480487804878,36.357,,71.2317073170732,44.311,47.059,61.88,49.224,61.86,,40.167,67.4268292682927,69.1454390243903,52.076,64.0952195121951,64.314,,57.093,62.61,67.0290731707317,67.0214146341464,43.251,43.3665355791448,46.665,49.035,38.462,66.432243902439,49.749,32.302,51.256,,37.773,,32.55,41.2604156653377,51.428,60.377,70.4722926829268,68.9780487804878,73.3504878048781,44.325,,,53.176,,38.536,41.58,55.745,51.237,55.326,34.73,60.687,63.036,43.351,46.83,,44.121,45.558,69.1460975609756,68.198,70.119512195122,59.589,60.474,60.907,,66.7410975609756,60.387,50.031,57.472,,30.5,49.142,47.446,53.946
1963,66.787,33.971,38.43,64.914,,54.572,65.348,67.277,,63.54,70.9117073170732,69.4436585365854,61.679,42.225,70.0514634146342,38.655,35.847,47.126,70.3092682926829,55.911,65.121,62.243,68.9920731707317,61.663,,42.84,55.627,66.381,57.756,35.734,50.641,37.683,71.3807317073171,71.1875609756098,71.03,58.467,45.972,38.583,43.182,41.755,47.486,58.825,42.644,49.323,62.236,65.695,,,70.587,70.3043902439025,69.8596097560976,45.309,,72.400487804878,53.675,47.509,50.573598301432,54.635,49.628,40.259,69.6812195121951,69.0535609756098,40.29,69.6128515106096,69.0126829268293,61.741,70.5146341463415,,55.838,41.149,70.8268292682927,64.881,47.093,,35.432,33.07,38.349,37.542,69.1857073170732,63.451,,48.295,62.482,60.805,68.6258536585366,48.285,65.7878780487805,43,68.8741463414634,48.468,,43.252,70.2729268292683,46.621,51.58,73.0429268292683,,69.2480487804878,65.784,54.995,69.6580487804878,59.6195365853659,48.674,57.4431951219512,41.71,48.601,,56.9706097560976,61.565,44.121,64.157,35.322,47.415,59.246,57.4466558749494,,60.611,48.59,70.2043902439024,69.2230731707317,69.8290243902439,66.199,,49.738,,63.122,41.401,39.209,58.656,,62.469,28.782,69.9199512195122,44.215,65.827,51.012,,40.508,46.531,61.3576585365854,37.421,61.486,70.0503873907244,48.656,59.8878048780488,35.298,38.291,48.92,73.3370731707317,73.0775609756098,36.828,,71.280487804878,45.11,47.884,62.36,49.792,62.16,,40.817,68.3756097560976,69.356,52.61,64.496512195122,64.5,,57.465,63.369,67.4410731707317,67.3399024390244,43.54,43.9914377761874,47.207,49.446,38.477,66.7008048780488,50.555,32.705,51.847,,38.175,,32.975,41.6833560410143,51.931,60.705,70.5949268292683,68.6219512195122,73.5553658536585,44.699,,,53.797,,38.795,42.215,56.231,51.544,55.757,35.232,61.103,63.373,44.11,47.573,,44.393,46.162,69.4577073170732,68.347,69.9170731707317,59.969,61.006,61.422,,66.9962195121951,61.02,50.576,57.756,,30.943,49.509,47.772,54.403
1964,67.113,34.463,38.76,65.463,,55.555,65.426,67.716,,63.992,70.8809756097561,69.9219512195122,61.889,42.54,70.7551219512195,39.13,36.331,47.649,71.1212195121951,57.182,65.219,62.818,69.2899268292683,62.241,,43.199,56.121,66.86,58.638,36.22,51.099,38.201,71.7763414634146,72.0778048780488,71.143,58.927,47.592,39.358,43.639,41.995,48.016,59.308,43.043,49.797,62.807,66.327,,,70.895,70.459512195122,70.0137073170732,45.727,,72.4851219512195,54.34,47.958,51.7589388645908,55.158,50.101,40.768,70.399756097561,69.3099268292683,40.81,70.0308427044614,69.2209756097561,61.967,70.6634146341464,,56.279,41.849,71.6243902439024,65.291,47.469,,35.588,33.543,38.671,37.874,69.4294390243902,63.817,,48.856,62.968,60.984,69.1043658536585,48.926,66.1544390243903,43.414,69.3809756097561,49.051,,43.873,70.4012926829268,47.172,52.73,73.5417073170732,,70.3117073170732,66.1,55.765,70.1324390243902,60.038,49.261,57.882243902439,41.893,49.145,,57.4409268292683,62.265,44.424,64.435,35.796,48.914,60.035,57.8752913550052,,61.078,48.797,71.5090243902439,69.4110487804878,71.0280487804878,66.629,,50.168,,63.496,41.876,39.878,59.069,,63.06,29.097,70.0757317073171,44.907,66.438,51.771,,40.698,47.214,61.9349512195122,37.655,61.943,70.3132050501549,49.325,60.3365853658537,35.368,38.691,49.566,73.7041463414634,73.5958536585366,37.346,,71.3292682926829,45.896,48.67,62.824,50.334,62.411,,41.495,68.6292682926829,69.5932926829268,53.335,64.8912682926829,64.659,,57.845,64.123,67.6504390243902,67.566512195122,43.803,44.6155204867259,47.781,49.852,38.449,66.9102195121951,51.357,33.134,52.391,,38.578,,33.402,42.0945699185438,52.417,61.026,70.6327804878049,68.6634146341464,73.7331707317073,45.083,,,54.435,,39.059,42.846,56.692,51.851,56.186,35.734,61.527,63.663,44.932,48.312,,44.682,46.755,69.7082195121951,68.455,70.1658536585366,60.348,61.488,61.923,,67.2603658536585,61.581,51.131,58.045,,31.501,49.888,48.068,54.849
1965,67.435,34.948,39.102,65.85,,56.523,65.518,68.153,,64.401,70.850243902439,69.7221951219512,62.104,42.838,70.6253658536586,39.615,36.815,48.05,71.2939024390244,58.388,65.31,63.381,69.5374146341464,62.823,68.8978048780488,43.568,56.61,67.275,59.434,36.745,51.547,38.754,71.8721951219512,72.2017073170732,71.265,59.415,49.549,40.115,44.095,42.257,48.517,59.784,43.446,50.345,63.348,66.956,,,71.197,70.1631707317073,70.1518292682927,46.166,,72.3707317073171,54.993,48.394,53.1154596571662,55.669,50.545,41.221,70.8092682926829,69.5176341463415,41.267,70.1571547534305,68.9778048780488,62.157,70.8121951219512,,56.717,42.651,71.6243902439024,65.694,47.823,,35.74,34.097,39.004,38.205,69.638,64.161,,49.434,63.443,61.157,69.5428780487805,49.548,66.5120487804878,43.837,69.0712195121951,49.629,,44.5,70.5231463414634,47.729,53.839,73.8687804878049,,70.1717073170732,66.42,56.526,70.2019512195122,60.4519512195122,49.821,58.3152682926829,42.083,49.697,,57.9682926829268,62.934,44.728,64.709,36.324,50.303,60.781,58.296373764764,,61.579,49.015,71.3251219512195,69.5610243902439,70.7265853658537,67.055,,50.593,,63.856,42.351,40.56,59.447,,63.642,29.489,70.2479268292683,45.63,67.022,52.461,,40.822,47.868,62.3582926829268,37.899,62.39,70.3667219117723,49.958,60.7853658536586,35.435,39.072,50.216,73.5687804878049,73.7231707317073,37.903,,71.2268292682927,46.665,49.42,63.275,50.872,62.618,,42.201,69.4292682926829,69.870756097561,54.264,65.2800487804878,64.793,,58.242,64.866,67.6978536585366,67.7188536585366,44.034,45.2322245352499,48.408,50.257,38.407,67.0858048780488,52.157,33.59,52.893,,38.982,,33.828,42.4959605178293,52.891,61.346,70.6033658536585,68.3658536585366,73.8617073170732,45.489,,,55.096,,39.344,43.473,57.133,52.166,56.609,36.273,61.957,63.908,45.821,49.035,,44.991,47.32,69.9056341463415,68.521,70.2146341463415,60.723,61.924,62.416,,67.540512195122,61.963,51.694,58.34,,32.175,50.284,48.351,55.274
1966,67.762,35.43,39.454,66.11,,57.482,65.64,68.588,,64.762,70.819512195122,70.0458536585366,62.322,43.105,70.7063414634146,40.109,37.291,48.236,71.2234146341464,59.524,65.402,63.94,69.7346097560976,63.402,,43.947,57.091,67.628,60.147,37.303,51.991,39.355,72.0043902439024,72.3356097560976,71.391,59.931,51.696,40.873,44.555,42.549,48.993,60.257,43.858,50.934,63.862,67.573,,,71.491,70.3848780487805,70.2714146341463,46.654,,72.4441463414634,55.635,48.811,54.6364104913351,56.174,50.945,41.63,71.0551219512195,69.6811951219512,41.668,70.4281533845909,69.4770731707317,62.302,70.9609756097561,,57.153,43.528,71.5731707317073,66.084,48.155,,35.89,34.735,39.343,38.536,69.8374634146341,64.484,,50.032,63.907,61.317,69.9462195121951,50.151,66.8627804878049,44.267,69.8224390243902,50.208,,45.136,70.6384390243903,48.298,54.885,73.3004878048781,72.2856097560976,70.9260975609756,66.74,57.279,70.9865853658537,60.8554146341464,50.364,58.7382926829268,42.298,50.25,,58.5751707317073,63.566,45.033,64.982,36.895,51.581,61.471,58.7150605686471,,62.104,49.254,71.520243902439,69.6744634146342,70.7073170731707,67.486,,51.009,,64.186,42.828,41.252,59.807,,64.216,29.959,70.4410487804878,46.357,67.593,53.098,,40.904,48.476,62.6387073170732,38.174,62.833,70.3780704719146,50.554,61.2341463414634,35.501,39.442,50.874,73.5129268292683,73.9953658536585,38.487,,71.1243902439024,47.413,50.134,63.718,51.432,62.784,,42.931,69.8268292682927,70.1867073170732,55.356,65.6634634146342,64.908,,58.654,65.588,67.6594634146342,67.812512195122,44.225,45.8352184795371,49.107,50.663,38.386,67.2559512195122,52.962,34.072,53.36,,39.384,,34.248,42.8926880665158,53.361,61.666,70.525243902439,69.0121951219512,74.0785365853658,45.929,,,55.788,,39.665,44.098,57.565,52.496,57.021,36.895,62.387,64.112,46.78,49.733,,45.321,47.839,70.0565365853659,68.554,70.2121951219512,61.089,62.318,62.91,,67.8351219512195,62.037,52.259,58.642,,32.96,50.705,48.643,55.671
1967,68.095,35.914,39.813,66.304,,58.432,65.796,69.016,,65.081,70.8692682926829,69.9178048780488,62.539,43.332,71.0129268292683,40.61,37.754,48.176,70.4139024390244,60.596,65.499,64.499,69.8816585365854,63.971,,44.337,57.563,67.928,60.803,37.882,52.435,40.005,72.2078048780488,72.6365853658537,71.512,60.474,53.847,41.647,45.025,42.868,49.448,60.729,44.283,51.532,64.358,68.171,,,71.776,70.2641463414634,70.374,47.203,,72.9221951219512,56.267,49.21,56.1094053818949,56.676,51.292,42.015,71.2529268292683,69.8021219512195,42.026,70.473602895873,69.6665853658537,62.401,71.1609756097561,,57.585,44.442,72.1243902439024,66.455,48.469,,36.048,35.445,39.679,38.866,70.0524634146342,64.789,,50.646,64.361,61.462,70.3257804878049,50.742,67.2087317073171,44.7,69.4070731707317,50.789,,45.779,70.7451463414634,48.888,55.85,73.7831707317073,71.509756097561,70.9565853658537,67.051,58.022,71.2765853658537,61.2433902439024,50.902,59.1463170731707,42.486,50.796,,59.2414634146342,64.158,45.34,65.255,37.491,52.778,62.099,59.1355048131191,,62.631,49.523,71.6039024390244,69.7613414634146,70.3939024390244,67.928,,51.413,,64.476,43.31,41.954,60.165,,64.775,30.496,70.6480731707317,47.055,68.169,53.702,,40.975,49.032,62.8153170731707,38.494,63.277,70.7143822608961,51.116,61.6829268292683,35.573,39.809,51.538,73.8041463414634,74.0665853658537,39.087,,71.4731707317073,48.141,50.812,64.16,52.038,62.915,,43.676,69.4243902439024,70.523512195122,56.506,66.0455365853658,65.015,,59.061,66.282,67.6269024390244,67.8601463414634,44.38,46.4188124874138,49.888,51.069,38.424,67.4457317073171,53.771,34.572,53.803,,39.783,,34.656,43.2888874215428,53.838,61.984,70.4185365853659,69.3658536585366,74.1224390243903,46.409,,,56.51,,40.028,44.72,57.998,52.845,57.417,37.597,62.811,64.282,47.804,50.406,,45.668,48.297,70.1611219512195,68.567,70.5609756097561,61.442,62.682,63.409,,68.1381951219512,61.767,52.819,58.951,,33.836,51.148,48.96,56.034
1968,68.436,36.403,40.178,66.487,,59.375,65.989,69.427,,65.363,70.9190243902439,70.0575609756098,62.75,43.523,70.6931707317073,41.117,38.207,47.888,71.2251219512195,61.609,65.607,65.059,69.9826341463415,64.525,,44.737,58.025,68.187,61.422,38.469,52.885,40.703,72.3534146341464,72.590243902439,71.623,61.044,55.843,42.449,45.509,43.208,49.887,61.201,44.724,52.119,64.847,68.744,,,72.052,69.8407317073171,70.4650975609756,47.814,,73.1214634146342,56.889,49.597,57.4709126131209,57.181,51.592,42.394,71.5378048780488,69.8829268292683,42.355,70.5841337719113,69.6163414634146,62.456,71.309756097561,,58.012,45.357,71.7243902439025,66.805,48.768,,36.222,36.211,40.01,39.195,70.3025609756098,65.077,,51.267,64.805,61.588,70.6905365853659,51.33,67.5489268292683,45.134,69.230243902439,51.374,,46.428,70.8442926829268,49.503,56.723,74.0058536585366,71.0565853658537,70.78,67.349,58.752,71.6112195121951,61.6128780487805,51.446,59.5358536585366,42.55,51.327,,59.9446097560976,64.713,45.65,65.528,38.099,53.921,62.67,59.561548370541,,63.144,49.829,71.3136585365854,69.8351463414634,70.0429268292683,68.388,,51.808,,64.718,43.796,42.669,60.536,,65.313,31.086,70.8630487804878,47.698,68.756,54.285,,41.061,49.536,62.9316829268293,38.866,63.719,70.1762415741042,51.65,62.1317073170732,35.658,40.184,52.205,73.6126829268293,73.9419512195122,39.691,,71.1243902439024,48.858,51.457,64.607,52.702,63.017,,44.425,70.219512195122,70.8641463414634,57.625,66.4272926829268,65.124,,59.452,66.942,67.671243902439,67.8743414634146,44.505,46.9824001042466,50.751,51.469,38.558,67.6737317073171,54.584,35.08,54.226,,40.179,,35.051,43.6894656978272,54.328,62.299,70.3068292682927,68.9170731707317,73.9729268292683,46.935,,,57.26,,40.435,45.339,58.442,53.214,57.794,38.336,63.224,64.43,48.882,51.053,,46.028,48.687,70.2230731707317,68.575,69.9512195121951,61.779,63.026,63.916,,68.4427317073171,61.186,53.372,59.266,,34.78,51.615,49.313,56.362
1969,68.784,36.9,40.546,66.689,,60.304,66.219,69.809,,65.616,70.9687804878049,69.8331707317073,62.953,43.685,70.7648780487805,41.63,38.652,47.432,70.43,62.56,65.73,65.621,70.0451463414634,65.058,,45.147,58.475,68.421,62.013,39.057,53.346,41.444,72.5014634146342,72.6126829268293,71.726,61.637,57.603,43.276,46.008,43.563,50.313,61.675,45.179,52.698,65.339,69.29,,,72.318,69.3670731707317,70.5506829268293,48.476,,73.2209756097561,57.498,49.982,58.7004292364434,57.69,51.865,42.773,71.0575609756098,69.9280975609756,42.659,70.5334585477462,69.5034146341464,62.481,71.4585365853659,,58.434,46.255,71.7219512195122,67.136,49.057,,36.421,37.023,40.333,39.525,70.5892926829268,65.352,,51.889,65.239,61.697,71.0445609756098,51.921,67.8813658536585,45.573,69.3146341463415,51.963,,47.081,70.9378780487805,50.148,57.5,73.7763414634146,70.9704878048781,70.8119512195122,67.636,59.468,71.8387804878049,61.9598780487805,51.998,59.9038780487805,42.369,51.837,,60.6750243902439,65.231,45.962,65.8,38.714,55.011,63.188,59.9948284140376,,63.634,50.18,70.9285365853659,69.9048536585366,69.7968292682927,68.865,,52.195,,64.908,44.283,43.397,60.932,,65.824,31.72,71.0829512195122,48.279,69.348,54.845,,41.178,49.99,63.0201951219512,39.289,64.161,70.6947644224401,52.163,62.5804878048781,35.76,40.569,52.868,73.539512195122,73.6634146341464,40.291,,71.4731707317073,49.574,52.07,65.063,53.42,63.097,,45.173,69.719512195122,71.2026097560976,58.681,66.8127073170732,65.241,,59.827,67.567,67.8149268292683,67.8671219512195,44.609,47.5289984899358,51.692,51.86,38.816,67.9510731707317,55.396,35.59,54.628,,40.57,,35.432,44.0953264830539,54.833,62.609,70.2057073170732,68.3609756097561,74.0848780487805,47.508,,,58.03,,40.878,45.955,58.904,53.602,58.147,39.042,63.621,64.565,50.001,51.678,,46.399,49.005,70.2475609756098,68.588,70.5073170731708,62.097,63.36,64.427,,68.7482195121951,60.383,53.915,59.589,,35.78,52.106,49.7,56.656
